     RW      HW MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
*** 
3943500 3036500  1  5  5  -2.4 1005 123  4.8 7  2.5  80    0    0 260 -295  2
3943500 3036500  1  5  6  -2.0 1004 131  4.7 6  2.7  82    0    0 253 -296  2
3943500 3036500  1  5  7  -1.4 1003 128  5.3 8  2.8  82    0    0 263 -296  2
3943500 3036500  1  5  8  -0.6 1003 133  4.9 8  2.9  83    0    0 285 -297  2
3943500 3036500  1  5  9   0.3 1003 140  4.0 8  3.2  84    0    0 290 -299  2
3943500 3036500  1  5 10   1.0 1003 140  4.5 8  3.5  86    0   15 295 -301  2
3943500 3036500  1  5 11   1.6 1003 137  4.8 8  3.7  88    0   31 299 -306  2
3943500 3036500  1  5 12   2.4 1002 133  4.2 7  3.9  88    0   35 288 -312  2
3943500 3036500  1  5 13   2.4 1002 142  4.0 8  4.1  89    0   30 292 -315  2
3943500 3036500  1  5 14   2.2 1001 138  3.7 8  4.2  93    0   23 305 -316  2
3943500 3036500  1  5 15   2.4 1001 147  3.7 8  4.4  97    0   16 306 -316  2
3943500 3036500  1  5 16   2.5 1001 144  3.2 8  4.5  99    0    3 308 -317  2
3943500 3036500  1  5 17   2.8 1001 147  3.1 8  4.6  98    0    0 309 -318  2
3943500 3036500  1  5 18   3.2 1001 146  3.3 8  4.6  97    0    0 311 -319  2
3943500 3036500  1  5 19   3.4 1001 150  2.8 8  4.7  96    0    0 313 -319  2
3943500 3036500  1  5 20   3.4 1001 174  3.4 8  4.8  97    0    0 315 -319  2
3943500 3036500  1  5 21   4.0 1000 150  2.7 8  4.8  96    0    0 318 -320  2
3943500 3036500  1  5 22   3.9 1000 177  3.8 8  4.8  95    0    0 320 -319  2
3943500 3036500  1  5 23   3.9 1000 196  4.0 8  4.9  96    0    0 322 -320  2
3943500 3036500  1  5 24   4.2 1001 197  3.0 8  4.9  95    0    0 322 -322  2
3943500 3036500  1  6  1   3.7 1001 185  3.3 7  4.9  95    0    0 316 -322  2
3943500 3036500  1  6  2   3.1 1001 182  3.2 7  4.7  96    0    0 306 -323  2
3943500 3036500  1  6  3   2.4 1001 179  2.6 8  4.6  98    0    0 310 -323  2
3943500 3036500  1  6  4   2.2 1001 187  2.6 8  4.5 100    0    0 316 -323  2
3943500 3036500  1  6  5   2.9 1001 184  2.6 8  4.6 100    0    0 316 -322  2
3943500 3036500  1  6  6   3.1 1001 176  2.7 8  4.7  99    0    0 317 -321  2
3943500 3036500  1  6  7   3.0 1002 187  2.6 7  4.7  97    0    0 310 -320  2
3943500 3036500  1  6  8   2.9 1002 191  2.5 7  4.6  98    0    0 305 -320  2
3943500 3036500  1  6  9   3.0 1003 203  2.7 7  4.6  98    0    1 304 -320  2
3943500 3036500  1  6 10   3.3 1004 212  2.8 6  4.6  96    0   22 298 -320  2
3943500 3036500  1  6 11   3.5 1004 204  3.1 7  4.7  96    0   44 298 -321  2
3943500 3036500  1  6 12   3.9 1005 227  3.5 6  4.8  96    0   66 298 -324  2
3943500 3036500  1  6 13   4.2 1006 208  4.5 5  4.8  94    7   87 287 -325  2
3943500 3036500  1  6 14   4.2 1006 218  4.1 4  4.8  93   37   94 276 -325  2
3943500 3036500  1  6 15   4.1 1007 213  4.3 1  4.7  92   67   60 252 -325  2
3943500 3036500  1  6 16   4.0 1008 205  4.6 5  4.7  92    7   26 258 -322  2
3943500 3036500  1  6 17   3.8 1008 203  4.4 6  4.7  93    0    0 287 -319  2
3943500 3036500  1  6 18   4.3 1009 226  5.1 7  4.8  94    0    0 299 -318  2
3943500 3036500  1  6 19   4.3 1010 231  4.9 7  4.8  93    0    0 306 -319  2
3943500 3036500  1  6 20   4.5 1010 228  5.3 7  4.8  91    0    0 306 -319  2
3943500 3036500  1  6 21   4.6 1011 229  4.8 7  4.7  88    0    0 306 -319  2
3943500 3036500  1  6 22   4.2 1011 210  3.7 8  4.6  88    0    0 312 -318  2
