     RW      HW MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
*** 
3943500 3036500  1  4  8   2.5 1005 173  3.7 8  4.3  96    0    0 330 -339  1
3943500 3036500  1  4  9   3.1 1005 154  4.2 8  4.5  96    0    0 333 -342  1
3943500 3036500  1  4 10   3.8 1004 154  4.6 8  4.6  94    0    7 336 -347  1
3943500 3036500  1  4 11   4.8 1003 171  6.9 8  4.9  93    0   13 339 -353  1
3943500 3036500  1  4 12   5.4 1001 184  7.4 8  5.2  94    0   18 343 -357  1
3943500 3036500  1  4 13   6.3 1000 192  7.9 8  5.6  95    0   20 346 -361  1
3943500 3036500  1  4 14   7.6  999 205  7.5 7  6.0  96    0   24 343 -363  1
3943500 3036500  1  4 15   8.1  999 223  6.6 7  6.5  97    0   21 339 -364  1
3943500 3036500  1  4 16   8.8 1000 221  6.7 8  6.8  97    0    6 349 -364  1
3943500 3036500  1  4 17   9.0 1000 225  6.3 8  6.7  93    0    0 356 -364  1
3943500 3036500  1  4 18   9.5 1000 226  7.5 7  6.6  90    0    0 349 -364  1
3943500 3036500  1  4 19   9.3 1001 233  8.9 7  6.5  88    0    0 339 -364  1
3943500 3036500  1  4 20   8.7 1002 236  8.7 6  6.3  86    0    0 327 -363  1
3943500 3036500  1  4 21   8.7 1003 234  8.3 7  6.0  85    0    0 324 -361  1
3943500 3036500  1  4 22   8.4 1003 233  7.7 8  5.8  83    0    0 338 -359  1
3943500 3036500  1  4 23   8.2 1004 237  6.9 8  5.6  81    0    0 344 -356  1
3943500 3036500  1  4 24   7.8 1005 236  6.3 8  5.4  80    0    0 341 -353  1
3943500 3036500  1  5  1   7.4 1006 244  6.0 8  5.2  80    0    0 339 -352  1
3943500 3036500  1  5  2   7.3 1006 242  5.9 8  5.0  77    0    0 337 -351  1
3943500 3036500  1  5  3   6.8 1007 243  5.4 7  4.9  77    0    0 328 -350  1
3943500 3036500  1  5  4   6.7 1008 229  5.7 7  4.9  80    0    0 321 -349  1
3943500 3036500  1  5  5   6.3 1008 236  5.2 7  5.1  85    0    0 322 -349  1
3943500 3036500  1  5  6   6.7 1008 225  5.7 6  5.2  87    0    0 314 -349  1
3943500 3036500  1  5  7   7.3 1008 232  5.5 7  5.4  86    0    0 315 -349  1
3943500 3036500  1  5  8   7.3 1009 219  5.0 8  5.6  88    0    0 329 -349  1
3943500 3036500  1  5  9   7.9 1009 228  5.1 8  5.8  89    0    0 336 -348  1
3943500 3036500  1  5 10   7.6 1009 245  3.8 8  6.0  90    0    8 337 -347  1
3943500 3036500  1  5 11   7.5 1009 246  4.1 8  6.0  93    0   18 336 -347  1
3943500 3036500  1  5 12   7.5 1009 267  4.3 8  6.1  94    0   18 335 -348  1
3943500 3036500  1  5 13   8.2 1009 213  5.7 8  6.2  94    0   31 334 -348  1
3943500 3036500  1  5 14   9.6 1009 238  7.4 8  6.6  92    0   29 336 -349  1
3943500 3036500  1  5 15   9.8 1009 276  9.0 7  6.8  91    0   16 330 -348  1
3943500 3036500  1  5 16   9.9 1008  42  8.6 8  7.0  92    0    5 329 -348  1
3943500 3036500  1  5 17  10.3 1008  24  9.4 8  7.1  91    0    0 332 -347  1
3943500 3036500  1  5 18  10.2 1009   8  8.4 8  7.1  91    0    0 332 -346  1
3943500 3036500  1  5 19  10.1 1009  14  7.5 8  7.1  91    0    0 330 -345  1
3943500 3036500  1  5 20  10.5 1009 205  6.9 7  7.0  89    0    0 326 -345  1
3943500 3036500  1  5 21  10.7 1009 240  7.1 7  6.8  85    0    0 321 -346  1
3943500 3036500  1  5 22  10.1 1009 239  8.3 6  6.6  84    0    0 315 -350  1
3943500 3036500  1  5 23   9.7 1009 224  8.0 6  6.4  84    0    0 308 -353  1
3943500 3036500  1  5 24   9.7 1009 229  8.1 3  6.3  83    0    0 297 -352  1
3943500 3036500  1  6  1   9.6 1009 227  7.6 3  6.2  83    0    0 285 -350  1
3943500 3036500  1  6  2   9.5 1009 228  8.1 3  6.2  84    0    0 283 -348  1
3943500 3036500  1  6  3   9.3 1009 221  7.6 3  6.2  84    0    0 281 -346  1
3943500 3036500  1  6  4   8.7 1008 219  6.9 3  6.2  86    0    0 279 -344  1
3943500 3036500  1  6  5   8.5 1008 221  7.3 3  6.2  88    0    0 276 -342  1
3943500 3036500  1  6  6   8.1 1008 215  7.6 3  6.1  89    0    0 273 -341  1
3943500 3036500  1  6  7   8.0 1008 212  8.0 3  6.1  90    0    0 270 -341  1
3943500 3036500  1  6  8   8.0 1007 232  8.3 3  5.9  88    0    0 269 -341  1
3943500 3036500  1  6  9   8.1 1007 222  8.6 4  5.8  85    0    0 269 -341  1
3943500 3036500  1  6 10   8.4 1007 213  8.0 5  5.6  82    2   31 273 -341  1
3943500 3036500  1  6 11   8.9 1007 212  8.0 7  5.6  80   21   79 279 -341  1
3943500 3036500  1  6 12   9.8 1007 227  8.2 5  5.6  76   48  110 279 -343  1
3943500 3036500  1  6 13  10.0 1006 230  8.0 7  5.5  72   32  114 279 -344  1
3943500 3036500  1  6 14  11.0 1006 209  8.0 6  5.4  68   41  104 280 -346  1
3943500 3036500  1  6 15  10.9 1005 209  8.1 5  5.2  64   26   73 278 -347  1
3943500 3036500  1  6 16  11.0 1004 208  8.4 6  5.1  62    3   26 278 -346  1
3943500 3036500  1  6 17  10.9 1004 216  8.0 7  5.0  60    0    0 283 -344  1
3943500 3036500  1  6 18  10.4 1003 214  8.1 7  4.9  61    0    0 286 -343  1
3943500 3036500  1  6 19  10.3 1003 217  7.6 7  4.9  62    0    0 288 -343  1
3943500 3036500  1  6 20   9.9 1003 230  6.8 7  4.9  64    0    0 290 -344  1
3943500 3036500  1  6 21   9.5 1002 212  7.1 8  5.0  66    0    0 296 -344  1
3943500 3036500  1  6 22   9.3 1001 219  6.5 6  5.0  68    0    0 299 -346  1
3943500 3036500  1  6 23   9.6 1001 222  7.5 6  5.1  69    0    0 299 -349  1
3943500 3036500  1  6 24   8.4 1000 229  7.2 8  5.3  73    0    0 309 -350  1
3943500 3036500  1  7  1   7.8  999 263  4.8 8  5.5  80    0    0 319 -351  1
3943500 3036500  1  7  2   6.6  999 272  4.2 8  5.5  86    0    0 322 -351  1
3943500 3036500  1  7  3   5.9  998 268  4.2 8  5.4  90    0    0 324 -347  1
3943500 3036500  1  7  4   5.8  998 262  4.2 8  5.4  93    0    0 328 -343  1
3943500 3036500  1  7  5   5.6  998 258  3.7 8  5.5  94    0    0 330 -339  1
3943500 3036500  1  7  6   5.6  998 255  4.1 8  5.4  93    0    0 329 -335  1
3943500 3036500  1  7  7   5.7  998 276  4.4 8  5.3  93    0    0 327 -335  1
3943500 3036500  1  7  8   5.6  998 273  3.2 7  5.4  93    0    0 321 -334  1
3943500 3036500  1  7  9   5.2  998 276  3.7 7  5.3  93    0    0 314 -333  1
3943500 3036500  1  7 10   5.2  999 279  3.8 6  5.2  93    2   29 308 -333  1
3943500 3036500  1  7 11   5.6 1000 283  3.6 4  5.1  90   33   69 290 -334  1
3943500 3036500  1  7 12   6.0 1001 271  3.9 4  5.1  87   52   91 278 -335  1
3943500 3036500  1  7 13   6.5 1002 266  4.6 3  5.1  85   82   92 272 -337  1
3943500 3036500  1  7 14   6.3 1002 264  4.4 4  5.2  86   58   86 270 -338  1
3943500 3036500  1  7 15   6.1 1002 266  3.6 5  5.1  86   21   63 277 -338  1
3943500 3036500  1  7 16   5.0 1002 263  3.4 4  5.0  88    9   26 273 -337  1
3943500 3036500  1  7 17   4.1 1002 248  1.8 5  5.0  94    0    0 267 -333  1
3943500 3036500  1  7 18   3.9 1003 253  3.3 5  4.9  96    0    0 269 -331  1
3943500 3036500  1  7 19   4.5 1003 259  2.8 6  4.9  95    0    0 273 -331  1
3943500 3036500  1  7 20   4.2 1003 254  2.5 6  5.0  95    0    0 276 -331  1
3943500 3036500  1  7 21   4.0 1003 232  2.4 6  4.9  96    0    0 274 -332  1
3943500 3036500  1  7 22   4.1 1003 237  2.6 7  4.9  95    0    0 282 -332  1
3943500 3036500  1  7 23   3.8 1003 225  3.3 8  4.8  94    0    0 298 -332  1
